ATL,BOS,CHD,DAL,FLA,GLA,GZC,HOU,HZS,LDN,NYE,PAR,PHI,SFS,SEO,SHD,TOR,VAL,VAN,WAS
1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
1500.0,1500.0,1497.5,1500.0,1505.0,1500.0,1500.0,1500.0,1495.0,1500.0,1505.0,1500.0,1505.0,1500.0,1500.0,1500.0,1495.0,1502.5,1500.0,1495.0
